positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CD3_CD4_CD45_panactin_VISTA	CD4	CD4	NA	NA	T	NA	193	Excluded CD4
CD3_CD4_CD68	CD4	Macrophages	CD4	CD4	F	NA	15527	CD4
CD3_CD4_GZMB	CD4	GZMB+ CD4 T cells	NA	NA	T	NA	2252	CD4
CD3_CD4_GZMB_MPO	CD4	GZMB+ CD4 T cells	NA	NA	T	NA	2252	CD4
CD3_CD4_panactin	CD4	CD4	NA	NA	T	NA	13480	CD4
CD3_CD4_panCK	CD4	CD4	NA	NA	T	NA	1402	CD4
CD4	CD4	CD4+ Myeloid cells	CD4	CD4	FALSE	P2	590	CD4
CD4	CD4	CD4+ Myeloid cells	CD4	CD4	F	P2	59930	CD4
CD4_CD16	CD4	CD4	NA	NA	TRUE		5131	CD4
CD4_CD38	CD4	CD4	NA	NA	TRUE		6767	CD4
CD4_CD45	CD4	CD4+ Myeloid cells	CD4	CD4	F	NA	6825	CD4
CD4_CD45_CLEC9a_LAG3_panactin	CD4	CD4+ Myeloid cells	CD4	CD4	F	NA	50	Excluded CD4
CD4_CD45_panactin	CD4	CD4+ Myeloid cells	CD4	CD4	F	P2	489	Excluded CD4
CD4_CD45_panactin_VISTA	CD4	CD4+ Myeloid cells	CD4	CD4	F	NA	490	Excluded CD4
CD4_IDO_KIR2DL3_TCRd	CD4	Tgd	Ambiguous	Ambiguous	F	NA	159	Excluded CD4
CD45_CLEC9a_KIR2DL3_panCK	CD4	CD4	Epithelial cells	Epithelial cells	F	NA	1961	CD4
CD56_CD4_IDO	CD4	Lymphocytes	CD4	CD4	FALSE		218	Excluded CD4
CLEC9a_CD56_CD4_IDO_TCRd	CD4	Cytotoxic lymphocytes	CD4	CD4	FALSE		72	Excluded CD4
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD45_MHCII_panactin_CD14_CD20_CD3_CD4_PD1_IDO_CD73_CAIX_CD11c_LAG3_CD103	CD4	Lymphocytes	CD4	CD4 Trm	FALSE		287	Excluded CD4
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD45_MHCII_panactin_CD14_CD3_CD4_PD1_IDO_CD73_CAIX_CD11c_CD38_LAG3_CD103_PDL1	CD4	mDC	CD4	CD4 Trm	FALSE		489	Excluded CD4
CLEC9a_KIR2DL3_VISTA_CD56_TIM3_CD45_MHCII_panactin_CD14_CD3_CD4_PD1_IDO_CD73_CD11c_LAG3_CD103	CD4	mDC	CD4	CD4 Trm	FALSE		296	CD4
